mode,singular_value
0,38.74324057546624
1,24.315291792476838
2,3.0959113301696553
3,0.3574283393472039
4,0.12234089756983663
5,0.022328093270809715
6,0.002467297280487667
7,0.0007310371407094742
8,0.0005511392650875485
9,0.00010626389282263246
10,1.474058575301809e-05
11,2.9285144845291267e-06
12,1.2709306001214362e-06
13,9.515109891875806e-08
14,6.512030892673215e-08
15,2.0416326055513157e-08
16,5.1093746225117526e-09
17,2.5762932682141645e-09
18,9.132558525125274e-10
19,3.7585274365970527e-10
20,1.3380703238149169e-10
21,4.776903312446947e-11
22,1.4275907484689201e-11
23,5.092337512149179e-12
24,1.2270172152525127e-12
25,3.0519981412935405e-13
26,8.878367400482395e-14
27,1.720545509401993e-14
28,9.067173994992838e-15
29,4.258636012450208e-15
30,3.1101317467232765e-15
31,3.1101317467232765e-15
32,3.1101317467232765e-15
33,3.1101317467232765e-15
34,3.1101317467232765e-15
35,3.1101317467232765e-15
36,3.1101317467232765e-15
37,3.1101317467232765e-15
38,3.1101317467232765e-15
39,3.1101317467232765e-15
40,3.1101317467232765e-15
41,3.1101317467232765e-15
42,3.1101317467232765e-15
43,3.1101317467232765e-15
44,3.1101317467232765e-15
45,3.1101317467232765e-15
46,3.1101317467232765e-15
47,3.1101317467232765e-15
48,3.1101317467232765e-15
49,3.1101317467232765e-15
50,3.1101317467232765e-15
51,3.1101317467232765e-15
52,3.1101317467232765e-15
53,3.1101317467232765e-15
54,3.1101317467232765e-15
55,3.1101317467232765e-15
56,3.1101317467232765e-15
57,3.1101317467232765e-15
58,3.1101317467232765e-15
59,3.1101317467232765e-15
60,6.84135905901409e-16
